State,Transaction_amount
Andaman & Nicobar,3556954.0
Andhra Pradesh,331233097.0
Arunachal Pradesh,6310412.0
Assam,86978703.0
Bihar,158138446.0
Chandigarh,12527258.0
Chhattisgarh,65398770.0
Dadra and Nagar Haveli and Daman and Diu,2855684.0
Delhi,275072622.0
Goa,32648574.0
Gujarat,200278806.0
Haryana,217615573.0
Himachal Pradesh,30757925.0
Jammu & Kashmir,30772190.0
Jharkhand,97678666.0
Karnataka,829191703.0
Kerala,201389795.0
Ladakh,3389191.0
Lakshadweep,160430.0
Madhya Pradesh,236606773.0
Maharashtra,763120514.0
Manipur,3178295.0
Meghalaya,4692287.0
Mizoram,2065983.0
Nagaland,3157626.0
Odisha,134484035.0
Puducherry,7467930.0
Punjab,79209681.0
Rajasthan,274450998.0
Sikkim,2801184.0
Tamil Nadu,303893116.0
Telangana,458821191.0
Tripura,6190362.0
Uttar Pradesh,483872123.0
Uttarakhand,56455666.0
West Bengal,266872934.0
